"index","timestamp","updates","states","reward","reward_per_1k_updates","reward_per_1k_updates_sma25","updates_progress","states_progress","reward_progress"
"0","20260219_020310","17606","317","-414,844595","0","0","0","0","0"
"1","20260219_020331","17999","320","-417,574595","-6,946565","-3,473282","0,001117","0,000741","-0,000368"
"2","20260219_020354","18612","324","-430,477095","-21,048124","-9,331563","0,002858","0,00173","-0,002106"
"3","20260219_020415","19164","326","-447,520595","-30,875906","-14,717649","0,004427","0,002224","-0,004402"
"4","20260219_020437","19762","329","-457,675095","-16,980769","-15,170273","0,006126","0,002966","-0,005771"
"5","20260219_020456","20238","329","-470,660595","-27,280462","-17,188638","0,007478","0,002966","-0,00752"
"6","20260219_020506","20530","331","-478,342595","-26,308219","-18,491435","0,008308","0,00346","-0,008555"
"7","20260219_020524","21002","332","-486,423095","-17,119703","-18,319969","0,009649","0,003707","-0,009644"
"8","20260219_020550","21549","333","-501,319595","-27,23309","-19,310315","0,011203","0,003955","-0,011651"
"9","20260219_020608","21994","335","-513,882095","-28,230337","-20,202318","0,012467","0,004449","-0,013343"
"10","20260219_020631","22538","337","-523,087595","-16,921875","-19,904095","0,014013","0,004943","-0,014584"
"11","20260219_020652","23042","337","-535,347095","-24,324405","-20,272455","0,015445","0,004943","-0,016235"
"12","20260219_020708","23489","343","-543,531595","-18,309843","-20,121484","0,016715","0,006426","-0,017338"
"13","20260219_020723","23835","351","-554,182595","-30,783237","-20,883038","0,017698","0,008403","-0,018773"
"14","20260219_020751","24485","352","-572,006095","-27,420769","-21,318887","0,019545","0,008651","-0,021174"
"15","20260219_020817","25099","356","-586,993095","-24,408795","-21,512006","0,02129","0,009639","-0,023194"
"16","20260219_020828","25403","361","-603,627095","-54,717105","-23,465247","0,022153","0,010875","-0,025435"
"17","20260219_020843","25843","365","-611,839095","-18,663636","-23,198491","0,023403","0,011864","-0,026541"
"18","20260219_020905","26510","367","-617,440595","-8,398051","-22,419521","0,025299","0,012358","-0,027296"
"19","20260219_020925","27009","371","-627,597595","-20,354709","-22,31628","0,026716","0,013347","-0,028664"
"20","20260219_020955","27742","372","-635,624595","-10,950887","-21,775071","0,028799","0,013594","-0,029746"
"21","20260219_021016","28278","372","-652,817595","-32,076493","-22,243317","0,030322","0,013594","-0,032062"
"22","20260219_021031","28671","375","-667,043095","-36,197201","-22,850008","0,031439","0,014335","-0,033979"
"23","20260219_021052","29290","377","-685,023095","-29,04685","-23,10821","0,033197","0,014829","-0,036401"
"24","20260219_021121","30060","377","-698,879595","-17,995455","-22,903699","0,035385","0,014829","-0,038268"
"25","20260219_021135","30413","381","-714,492595","-44,229462","-24,672878","0,036388","0,015818","-0,040371"
"26","20260219_021149","30817","384","-725,072595","-26,188119","-25,44254","0,037536","0,01656","-0,041797"
"27","20260219_021206","31201","385","-737,799095","-33,141927","-25,926292","0,038627","0,016807","-0,043512"
"28","20260219_021220","31622","385","-752,666595","-35,314727","-26,103845","0,039823","0,016807","-0,045515"
"29","20260219_021238","32168","388","-765,402095","-23,325092","-26,357618","0,041374","0,017548","-0,047231"
"30","20260219_021255","32592","392","-778,594095","-31,113208","-26,510928","0,042579","0,018537","-0,049008"
"31","20260219_021309","33020","392","-781,864095","-7,640187","-25,764206","0,043795","0,018537","-0,049448"
"32","20260219_021326","33469","392","-789,408595","-16,802895","-25,751534","0,045071","0,018537","-0,050465"
"33","20260219_021338","33810","392","-799,674095","-30,104106","-25,866375","0,04604","0,018537","-0,051848"
"34","20260219_021349","34127","392","-810,043595","-32,711356","-26,045616","0,046941","0,018537","-0,053245"
"35","20260219_021403","34523","396","-820,062595","-25,300505","-26,380761","0,048066","0,019525","-0,054595"
"36","20260219_021418","34923","396","-834,991095","-37,32125","-26,900635","0,049202","0,019525","-0,056606"
"37","20260219_021436","35339","396","-845,482095","-25,21875","-27,176991","0,050384","0,019525","-0,05802"
"38","20260219_021449","35765","396","-853,727595","-19,355634","-26,719887","0,051595","0,019525","-0,059131"
"39","20260219_021505","36105","397","-869,600095","-46,683824","-27,490409","0,052561","0,019773","-0,061269"
"40","20260219_021518","36471","401","-880,913595","-30,911202","-27,750505","0,0536","0,020761","-0,062793"
"41","20260219_021531","36794","401","-894,062595","-40,708978","-27,19018","0,054518","0,020761","-0,064565"
"42","20260219_021547","37201","401","-911,592595","-43,071253","-28,166485","0,055675","0,020761","-0,066927"
"43","20260219_021603","37658","404","-915,299595","-8,111597","-28,155027","0,056973","0,021503","-0,067426"
"44","20260219_021623","38232","404","-922,914595","-13,266551","-27,8715","0,058604","0,021503","-0,068452"
"45","20260219_021641","38726","406","-928,656095","-11,62247","-27,898364","0,060008","0,021997","-0,069226"
"46","20260219_021654","39098","406","-935,977595","-19,681452","-27,402562","0,061064","0,021997","-0,070212"
"47","20260219_021709","39486","412","-947,952095","-30,862113","-27,189158","0,062167","0,02348","-0,071825"
"48","20260219_021722","39867","414","-958,036595","-26,468504","-27,086025","0,063249","0,023974","-0,073184"
"49","20260219_021745","40463","415","-968,352595","-17,308725","-27,058555","0,064943","0,024221","-0,074574"
"50","20260219_021759","40889","415","-976,561095","-19,268779","-26,060128","0,066153","0,024221","-0,07568"
"51","20260219_021815","41259","418","-980,699095","-11,183784","-25,459955","0,067204","0,024963","-0,076237"
"52","20260219_021829","41656","419","-998,462595","-44,744332","-25,924051","0,068332","0,02521","-0,078631"
"53","20260219_021848","42128","419","-1004,280095","-12,325212","-25,00447","0,069673","0,02521","-0,079414"
"54","20260219_021900","42427","420","-1015,853095","-38,705686","-25,619694","0,070523","0,025457","-0,080974"
"55","20260219_021918","42869","422","-1028,387595","-28,358597","-25,50951","0,071779","0,025952","-0,082662"
"56","20260219_021933","43275","426","-1036,063095","-18,905172","-25,960109","0,072932","0,02694","-0,083697"
"57","20260219_022004","43993","426","-1052,887095","-23,431755","-26,225263","0,074972","0,02694","-0,085963"
"58","20260219_022018","44344","430","-1059,291595","-18,246439","-25,750957","0,07597","0,027929","-0,086826"
"59","20260219_022035","44751","430","-1071,999095","-31,222359","-25,691397","0,077126","0,027929","-0,088538"
"60","20260219_022054","45155","433","-1088,003595","-39,615099","-26,263981","0,078274","0,02867","-0,090695"
"61","20260219_022108","45509","433","-1098,212595","-28,838983","-25,92469","0,07928","0,02867","-0,09207"
"62","20260219_022118","45764","433","-1113,858095","-61,354902","-27,370136","0,080004","0,02867","-0,094178"
"63","20260219_022131","46077","433","-1132,614095","-59,923323","-28,992844","0,080894","0,02867","-0,096705"
"64","20260219_022139","46269","436","-1138,347595","-29,861979","-28,31997","0,081439","0,029412","-0,097477"
"65","20260219_022150","46550","438","-1150,080095","-41,752669","-28,753629","0,082238","0,029906","-0,099058"
"66","20260219_022202","46866","439","-1161,019595","-34,618671","-28,510016","0,083135","0,030153","-0,100532"
"67","20260219_022214","47232","439","-1175,378095","-39,230874","-28,356401","0,084175","0,030153","-0,102466"
"68","20260219_022230","47638","440","-1181,548595","-15,198276","-28,639868","0,085329","0,0304","-0,103298"
"69","20260219_022247","48107","441","-1180,727095","1,751599","-28,039142","0,086661","0,030648","-0,103187"
"70","20260219_022308","48649","443","-1191,217095","-19,354244","-28,348413","0,088201","0,031142","-0,1046"
"71","20260219_022318","48915","444","-1202,219595","-41,362782","-29,215666","0,088957","0,031389","-0,106083"
"72","20260219_022329","49246","445","-1210,293595","-24,392749","-28,956892","0,089898","0,031636","-0,107171"
"73","20260219_022343","49650","445","-1211,475095","-2,924505","-28,015132","0,091045","0,031636","-0,10733"
"74","20260219_022400","50066","448","-1212,046095","-1,372596","-27,377687","0,092227","0,032378","-0,107407"
"75","20260219_022813","50705","449","-1220,466595","-13,177621","-27,13404","0,094043","0,032625","-0,108541"
"76","20260219_022828","51241","449","-1230,454095","-18,633396","-27,432025","0,095566","0,032625","-0,109887"
"77","20260219_022844","51712","451","-1237,826595","-15,652866","-26,268366","0,096904","0,033119","-0,11088"
"78","20260219_022851","51910","451","-1243,091595","-26,590909","-26,838994","0,097467","0,033119","-0,111589"
"79","20260219_023010","52422","452","-1257,523595","-28,1875","-26,418267","0,098921","0,033366","-0,113534"
"80","20260219_023022","52845","454","-1267,948095","-24,644208","-26,269691","0,100123","0,033861","-0,114938"
"81","20260219_023037","53345","455","-1275,848095","-15,8","-26,145484","0,101544","0,034108","-0,116003"
"82","20260219_023054","53884","457","-1285,595595","-18,084416","-25,931591","0,103075","0,034602","-0,117316"
"83","20260219_023117","54599","457","-1298,182095","-17,603497","-25,905873","0,105107","0,034602","-0,119012"
"84","20260219_023138","55321","457","-1308,402595","-14,155817","-25,223211","0,107158","0,034602","-0,120389"
"85","20260219_023203","55990","459","-1320,976595","-18,795217","-24,390416","0,109059","0,035096","-0,122083"
"86","20260219_023221","56520","463","-1326,590095","-10,591509","-23,660517","0,110565","0,036085","-0,122839"
"87","20260219_023237","57013","464","-1336,689595","-20,485801","-22,025753","0,111966","0,036332","-0,1242"
"88","20260219_023253","57470","466","-1342,556095","-12,83698","-20,142299","0,113264","0,036826","-0,12499"
"89","20260219_023312","57990","469","-1355,954095","-25,765385","-19,978436","0,114742","0,037568","-0,126795"
"90","20260219_023324","58359","472","-1368,255595","-33,337398","-19,641825","0,11579","0,038309","-0,128453"
"91","20260219_023341","58879","472","-1378,282095","-19,281731","-19,028347","0,117267","0,038309","-0,129804"
"92","20260219_023359","59482","472","-1395,083595","-27,863184","-18,57364","0,118981","0,038309","-0,132067"
"93","20260219_023414","59975","474","-1402,972095","-16,001014","-18,605749","0,120382","0,038804","-0,13313"
"94","20260219_023432","60485","476","-1413,042595","-19,746078","-19,465656","0,121831","0,039298","-0,134487"
"95","20260219_023448","60979","479","-1420,198595","-14,48583","-19,27092","0,123234","0,04004","-0,135451"
"96","20260219_023459","61424","485","-1433,319095","-29,48427","-18,795779","0,124499","0,041522","-0,137219"
"97","20260219_023519","61999","486","-1445,027595","-20,362609","-18,634573","0,126132","0,04177","-0,138796"
"98","20260219_023536","62522","487","-1454,998095","-19,064054","-19,280155","0,127618","0,042017","-0,14014"
"99","20260219_023555","63207","487","-1462,647595","-11,167153","-19,671938","0,129564","0,042017","-0,14117"
"100","20260219_023608","63650","487","-1470,848595","-18,512415","-19,885329","0,130823","0,042017","-0,142275"
"101","20260219_023629","64233","487","-1481,786595","-18,761578","-19,890457","0,13248","0,042017","-0,143749"
"102","20260219_023644","64815","488","-1482,169095","-0,657216","-19,290631","0,134133","0,042264","-0,1438"
"103","20260219_023700","65362","490","-1480,504595","3,042962","-18,105276","0,135687","0,042758","-0,143576"
"104","20260219_023724","66114","490","-1495,129095","-19,447473","-17,755675","0,137824","0,042758","-0,145546"
"105","20260219_023737","66512","490","-1510,094095","-37,600503","-18,273927","0,138955","0,042758","-0,147563"
"106","20260219_023755","67065","490","-1524,912095","-26,79566","-18,713753","0,140526","0,042758","-0,149559"
"107","20260219_023812","67546","490","-1532,897595","-16,601871","-18,654451","0,141893","0,042758","-0,150635"
"108","20260219_023823","67907","490","-1553,674095","-57,552632","-20,252417","0,142918","0,042758","-0,153434"
"109","20260219_023843","68541","490","-1565,384595","-18,47082","-20,425017","0,14472","0,042758","-0,155012"
"110","20260219_023858","69066","491","-1576,888095","-21,911429","-20,549665","0,146211","0,043005","-0,156562"
"111","20260219_023920","69667","492","-1592,102095","-25,314476","-21,138584","0,147919","0,043253","-0,158612"
"112","20260219_023940","70391","494","-1596,813095","-6,506906","-20,579428","0,149976","0,043747","-0,159246"
"113","20260219_024010","71184","494","-1608,728595","-15,025851","-20,666983","0,152229","0,043747","-0,160852"
"114","20260219_024029","71907","495","-1609,636095","-1,255187","-19,686575","0,154283","0,043994","-0,160974"
"115","20260219_024044","72434","497","-1613,059095","-6,495256","-18,612889","0,155781","0,044488","-0,161435"
"116","20260219_024057","72837","497","-1625,810595","-31,641439","-19,107278","0,156926","0,044488","-0,163153"
"117","20260219_024109","73158","497","-1636,093095","-32,03271","-19,274059","0,157838","0,044488","-0,164538"
"118","20260219_024122","73623","497","-1647,919595","-25,433333","-19,651352","0,159159","0,044488","-0,166132"
"119","20260219_024140","74130","498","-1654,812095","-13,594675","-19,405295","0,1606","0,044736","-0,16706"
"120","20260219_024156","74663","498","-1662,008095","-13,500938","-19,3659","0,162114","0,044736","-0,16803"
"121","20260219_024214","75158","500","-1672,114095","-20,416162","-19,003175","0,16352","0,04523","-0,169392"
"122","20260219_024227","75642","500","-1681,735095","-19,878099","-18,983795","0,164896","0,04523","-0,170688"
"123","20260219_024246","76205","500","-1697,203595","-27,475133","-19,320238","0,166495","0,04523","-0,172772"
"124","20260219_024258","76583","503","-1698,425595","-3,232804","-19,002864","0,167569","0,045971","-0,172936"
"125","20260219_024319","77199","504","-1707,949095","-15,460227","-18,880777","0,169319","0,046218","-0,17422"
"126","20260219_024332","77704","505","-1723,640595","-31,072277","-19,373205","0,170754","0,046466","-0,176334"
"127","20260219_024349","78171","505","-1724,538595","-1,922912","-19,423832","0,172081","0,046466","-0,176455"
"128","20260219_024407","78766","506","-1736,423095","-19,97395","-20,344509","0,173772","0,046713","-0,178056"
"129","20260219_024426","79270","506","-1752,777595","-32,449405","-20,864586","0,175204","0,046713","-0,180259"
"130","20260219_024444","79827","506","-1760,435595","-13,748654","-19,910512","0,176786","0,046713","-0,181291"
"131","20260219_024455","80119","506","-1773,005595","-43,047945","-20,560604","0,177616","0,046713","-0,182985"
"132","20260219_024516","80789","506","-1777,226095","-6,299254","-20,148499","0,17952","0,046713","-0,183553"
"133","20260219_024533","81328","507","-1794,951595","-32,8859","-19,16183","0,181051","0,04696","-0,185941"
"134","20260219_024553","81935","507","-1806,681095","-19,323723","-19,195946","0,182776","0,04696","-0,187522"
"135","20260219_024609","82447","512","-1815,138095","-16,517578","-18,980192","0,18423","0,048196","-0,188661"
"136","20260219_024626","83094","512","-1821,828595","-10,340804","-18,381245","0,186069","0,048196","-0,189563"
"137","20260219_024646","83659","512","-1833,812595","-21,210619","-18,969393","0,187674","0,048196","-0,191177"
"138","20260219_024703","84172","513","-1847,266095","-26,225146","-19,417365","0,189132","0,048443","-0,19299"
"139","20260219_024720","84638","514","-1860,336095","-28,04721","-20,489046","0,190456","0,04869","-0,194751"
"140","20260219_024734","85183","514","-1873,044095","-23,317431","-21,161933","0,192004","0,04869","-0,196463"
"141","20260219_024754","85782","514","-1873,241095","-0,328881","-19,909431","0,193706","0,04869","-0,196489"
