"Timestamp","TotalUpdates","Reward","States3D","StatesPlanar"
"20260219_020310","17606","-414,84459519994147","0","317"
"20260219_020331","17999","-417,57459519993887","0","320"
"20260219_020354","18612","-430,4770951999347","0","324"
"20260219_020415","19164","-447,520595199931","0","326"
"20260219_020437","19762","-457,675095199927","0","329"
"20260219_020456","20238","-470,66059519992393","0","329"
"20260219_020506","20530","-478,3425951999222","0","331"
"20260219_020524","21002","-486,4230951999191","0","332"
"20260219_020550","21549","-501,31959519991557","0","333"
"20260219_020608","21994","-513,8820951999127","0","335"
"20260219_020631","22538","-523,0875951999088","0","337"
"20260219_020652","23042","-535,3470951999057","0","337"
"20260219_020708","23489","-543,5315951999028","0","343"
"20260219_020723","23835","-554,1825951999007","0","351"
"20260219_020751","24485","-572,0060951998959","0","352"
"20260219_020817","25099","-586,9930951998916","0","356"
"20260219_020828","25403","-603,6270951998902","0","361"
"20260219_020843","25843","-611,8390951998873","0","365"
"20260219_020905","26510","-617,4405951998829","0","367"
"20260219_020925","27009","-627,5975951998795","0","371"
"20260219_020955","27742","-635,6245951998745","0","372"
"20260219_021016","28278","-652,817595199871","0","372"
"20260219_021031","28671","-667,0430951998684","0","375"
"20260219_021052","29290","-685,0230951998643","0","377"
"20260219_021121","30060","-698,879595199859","0","377"
"20260219_021135","30413","-714,492595199857","0","381"
"20260219_021149","30817","-725,0725951998546","0","384"
"20260219_021206","31201","-737,799095199852","0","385"
"20260219_021220","31622","-752,6665951998493","0","385"
"20260219_021238","32168","-765,4020951998458","0","388"
"20260219_021255","32592","-778,5940951998426","0","392"
"20260219_021309","33020","-781,8640951998397","0","392"
"20260219_021326","33469","-789,4085951998368","0","392"
"20260219_021338","33810","-799,6740951998345","0","392"
"20260219_021349","34127","-810,0435951998322","0","392"
"20260219_021403","34523","-820,0625951998297","0","396"
"20260219_021418","34923","-834,9910951998272","0","396"
"20260219_021436","35339","-845,4820951998244","0","396"
"20260219_021449","35765","-853,7275951998214","0","396"
"20260219_021505","36105","-869,6000951998192","0","397"
"20260219_021518","36471","-880,9135951998172","0","401"
"20260219_021531","36794","-894,0625951998147","0","401"
"20260219_021547","37201","-911,5925951998116","0","401"
"20260219_021603","37658","-915,2995951998088","0","404"
"20260219_021623","38232","-922,9145951998047","0","404"
"20260219_021641","38726","-928,6560951998013","0","406"
"20260219_021654","39098","-935,9775951997988","0","406"
"20260219_021709","39486","-947,9520951997963","0","412"
"20260219_021722","39867","-958,0365951997939","0","414"
"20260219_021745","40463","-968,35259519979","0","415"
"20260219_021759","40889","-976,5610951997872","0","415"
"20260219_021815","41259","-980,6990951997851","0","418"
"20260219_021829","41656","-998,4625951997823","0","419"
"20260219_021848","42128","-1004,2800951997787","0","419"
"20260219_021900","42427","-1015,8530951997769","0","420"
"20260219_021918","42869","-1028,3875951997743","0","422"
"20260219_021933","43275","-1036,063095199771","0","426"
"20260219_022004","43993","-1052,8870951997653","0","426"
"20260219_022018","44344","-1059,291595199763","0","430"
"20260219_022035","44751","-1071,99909519976","0","430"
"20260219_022054","45155","-1088,0035951997572","0","433"
"20260219_022108","45509","-1098,2125951997546","0","433"
"20260219_022118","45764","-1113,8580951997533","0","433"
"20260219_022131","46077","-1132,6140951997515","0","433"
"20260219_022139","46269","-1138,34759519975","0","436"
"20260219_022150","46550","-1150,080095199748","0","438"
"20260219_022202","46866","-1161,0195951997455","0","439"
"20260219_022214","47232","-1175,3780951997426","0","439"
"20260219_022230","47638","-1181,5485951997393","0","440"
"20260219_022247","48107","-1180,727095199736","0","441"
"20260219_022308","48649","-1191,217095199732","0","443"
"20260219_022318","48915","-1202,2195951997303","0","444"
"20260219_022329","49246","-1210,2935951997285","0","445"
"20260219_022343","49650","-1211,4750951997253","0","445"
"20260219_022400","50066","-1212,0460951997225","0","448"
"20260219_022813","50705","-1220,466595199717","0","449"
"20260219_022828","51241","-1230,454095199713","0","449"
"20260219_022844","51712","-1237,8265951997103","0","451"
"20260219_022851","51910","-1243,0915951997088","0","451"
"20260219_023010","52422","-1257,5235951997042","0","452"
